interaction-date,from,to
2022-05-24,P2,P1
2022-05-24,P2,P1
2022-05-24,P2,P1
2022-05-24,P3,P1
2022-05-24,P2,P1
2022-05-24,P3,P1
2022-05-24,P3,P1
2022-05-24,P3,P1
2022-05-24,P3,P1
2022-05-24,P4,P1
2022-05-24,P4,P1
2022-05-24,P4,P1
2022-05-24,P4,P1
2022-05-24,P4,P1
2022-05-24,P4,P1
2022-05-25,P5,P1
2022-05-25,P5,P1
2022-05-26,P5,P1
2022-05-26,P6,P1
2022-05-26,P6,P1
2022-05-26,P6,P1
2022-05-26,P6,P1
2022-05-26,P6,P1
2022-05-26,P6,P1
2022-05-26,P6,P1
2022-05-26,P7,P1
2022-05-26,P6,P1
2022-05-26,P7,P1
2022-05-26,P8,P1
2022-05-26,P8,P1
2022-05-26,P8,P1
2022-05-26,P8,P1
2022-05-26,P8,P1
2022-05-26,P8,P1
2022-05-26,P8,P1
2022-05-30,P9,P1
2022-05-30,P9,P1
2022-05-30,P9,P1
2022-05-30,P10,P1
2022-05-30,P10,P1
2022-05-30,P10,P1
2022-05-30,P10,P1
2022-05-30,P10,P1
2022-05-30,P10,P1
2022-05-30,P11,P1
2022-05-30,P11,P1
2022-05-30,P12,P1
2022-05-30,P11,P1
2022-05-30,P12,P1
2022-05-31,P13,P1
2022-05-31,P12,P1
2022-06-01,P14,P1
2022-06-01,P14,P1
2022-06-01,P14,P1
2022-06-01,P14,P1
2022-06-01,P14,P1
2022-06-01,P15,P1
2022-06-01,P14,P1
2022-06-01,P15,P1
2022-06-01,P14,P1
2022-06-02,P16,P1
2022-06-02,P16,P1
2022-06-02,P16,P1
2022-06-02,P9,P1
2022-06-02,P9,P1
2022-06-02,P16,P1
2022-06-03,P17,P1
2022-06-03,P18,P1
2022-06-03,P17,P1
2022-06-03,P17,P1
2022-06-03,P17,P1
2022-06-03,P18,P1
2022-06-03,P18,P1
2022-06-03,P17,P1
2022-06-03,P18,P1
2022-06-03,P18,P1
2022-06-03,P18,P1
2022-06-03,P18,P1
2022-06-03,P17,P1
2022-06-03,P13,P1
2022-06-03,P13,P1
2022-06-03,P13,P1
2022-06-03,P10,P1
2022-06-03,P13,P1
2022-06-03,P13,P1
2022-06-04,P2,P1
2022-06-04,P2,P1
2022-06-04,P2,P1
2022-06-04,P8,P1
2022-06-04,P5,P1
2022-06-04,P19,P1
2022-06-04,P5,P1
2022-06-04,P5,P1
2022-06-04,P5,P1
2022-06-05,P12,P1
2022-06-05,P20,P1
2022-06-06,P20,P1
2022-06-06,P20,P1
2022-06-06,P20,P1
2022-06-06,P20,P1
2022-06-06,P20,P1
2022-06-06,P20,P1
2022-06-06,P21,P1
2022-06-06,P20,P1
2022-06-06,P21,P1
2022-06-06,P21,P1
2022-06-06,P21,P1
2022-06-06,P21,P1
2022-06-06,P21,P1
2022-06-07,P22,P1
2022-06-07,P22,P1
2022-06-07,P23,P1
2022-06-07,P22,P1
2022-06-07,P23,P1
2022-06-07,P22,P1
2022-06-07,P23,P1
2022-06-07,P23,P1
2022-06-07,P22,P1
2022-06-07,P22,P1
2022-06-09,P7,P1
2022-06-09,P7,P1
2022-06-09,P7,P1
2022-06-09,P7,P1
2022-06-09,P7,P1
2022-06-09,P7,P1
2022-06-18,P12,P1
2022-06-18,P12,P1
2022-06-21,P15,P1
2022-06-21,P15,P1
2022-06-21,P15,P1
2022-06-21,P15,P1
2022-06-22,P24,P1
2022-06-22,P24,P1
2022-06-22,P24,P1
2022-06-23,P25,P1
2022-06-23,P25,P1
2022-06-23,P25,P1
2022-06-23,P25,P1
2022-06-23,P25,P1
2022-06-23,P25,P1
2022-06-24,P15,P1
2022-06-24,P3,P1
2022-06-24,P3,P1
2022-06-27,P24,P1
2022-06-27,P24,P1
2022-06-27,P24,P1
2022-06-27,P24,P1
2022-06-27,P24,P1
2022-06-28,P26,P1
